LABEL,time1_20,20y-1y,x_1,x_20,x_20_1_1,x_20_1_2,x_20_1_3,x_20_1_4,x_20_1_5
0,0,0.99,3.06,4.05,0.95,0.92,0.88,0.79,0.83
0,0,1.05,2.94,3.99,0.99,0.95,0.92,0.88,0.79
0,0,1.01,2.97,3.98,1.05,0.99,0.95,0.92,0.88
0,0,1.03,2.89,3.92,1.01,1.05,0.99,0.95,0.92
0,0,0.92,3,3.92,1.03,1.01,1.05,0.99,0.95
0,0,0.91,3,3.91,0.92,1.03,1.01,1.05,0.99
0,0,0.84,3.07,3.91,0.91,0.92,1.03,1.01,1.05
0,0,0.85,3.05,3.9,0.84,0.91,0.92,1.03,1.01
0,0,0.88,3,3.88,0.85,0.84,0.91,0.92,1.03
0,0,0.89,3.05,3.94,0.88,0.85,0.84,0.91,0.92
0,0,0.92,3.01,3.93,0.89,0.88,0.85,0.84,0.91
0,0,0.95,2.98,3.93,0.92,0.89,0.88,0.85,0.84
0,0,0.98,2.94,3.92,0.95,0.92,0.89,0.88,0.85
0,0,0.94,3,3.94,0.98,0.95,0.92,0.89,0.88
0,0,0.92,3.04,3.96,0.94,0.98,0.95,0.92,0.89
0,0,0.82,3.2,4.02,0.92,0.94,0.98,0.95,0.92
0,0,0.82,3.23,4.05,0.82,0.92,0.94,0.98,0.95
0,0,0.78,3.27,4.05,0.82,0.82,0.92,0.94,0.98
0,0,0.73,3.32,4.05,0.78,0.82,0.82,0.92,0.94
0,0,0.73,3.32,4.05,0.73,0.78,0.82,0.82,0.92
0,0,0.77,3.27,4.04,0.73,0.73,0.78,0.82,0.82
0,0,0.75,3.28,4.03,0.77,0.73,0.73,0.78,0.82
0,0,0.81,3.18,3.99,0.75,0.77,0.73,0.73,0.78
0,0,0.85,3.12,3.97,0.81,0.75,0.77,0.73,0.73
0,0,0.85,3.14,3.99,0.85,0.81,0.75,0.77,0.73
0,0,0.91,3.1,4.01,0.85,0.85,0.81,0.75,0.77
0,0,0.94,3.06,4,0.91,0.85,0.85,0.81,0.75
0,0,0.96,3.04,4,0.94,0.91,0.85,0.85,0.81
0,0,0.95,3.02,3.97,0.96,0.94,0.91,0.85,0.85
0,0,0.98,2.97,3.95,0.95,0.96,0.94,0.91,0.85
0,0,0.96,2.98,3.94,0.98,0.95,0.96,0.94,0.91
0,0,0.96,2.94,3.9,0.96,0.98,0.95,0.96,0.94
0,0,0.97,2.97,3.94,0.96,0.96,0.98,0.95,0.96
0,0,0.94,3,3.94,0.97,0.96,0.96,0.98,0.95
0,0,0.94,2.97,3.91,0.94,0.97,0.96,0.96,0.98
0,0,0.94,3,3.94,0.94,0.94,0.97,0.96,0.96
0,0,0.93,3.01,3.94,0.94,0.94,0.94,0.97,0.96
0,0,0.92,3.02,3.94,0.93,0.94,0.94,0.94,0.97
