X_0.25,X_1,X_10,X_20,X0_10,X1_10,X2_10,X3_10,X4_10,X5_10,X0_20,X1_20,X2_20,X3_20,X4_20,X5_20,LABEL
2.72,3.28,4.05,4.11,1.33,1.41,1.44,1.4,1.32,1.28,0.83,0.83,0.84,0.83,0.79,0.81,0
2.83,3.33,4.02,4.12,1.19,1.33,1.41,1.44,1.4,1.32,0.79,0.83,0.83,0.84,0.83,0.79,0
2.69,3.24,4.02,4.12,1.33,1.19,1.33,1.41,1.44,1.4,0.88,0.79,0.83,0.83,0.84,0.83,0
2.69,3.17,3.98,4.09,1.29,1.33,1.19,1.33,1.41,1.44,0.92,0.88,0.79,0.83,0.83,0.84,0
2.76,3.12,3.96,4.07,1.2,1.29,1.33,1.19,1.33,1.41,0.95,0.92,0.88,0.79,0.83,0.83,0
2.72,3.06,3.96,4.05,1.24,1.2,1.29,1.33,1.19,1.33,0.99,0.95,0.92,0.88,0.79,0.83,0
2.7,2.94,3.87,3.99,1.17,1.24,1.2,1.29,1.33,1.19,1.05,0.99,0.95,0.92,0.88,0.79,0
2.75,2.97,3.86,3.98,1.11,1.17,1.24,1.2,1.29,1.33,1.01,1.05,0.99,0.95,0.92,0.88,0
2.7,2.89,3.81,3.92,1.11,1.11,1.17,1.24,1.2,1.29,1.03,1.01,1.05,0.99,0.95,0.92,0
2.74,3,3.85,3.92,1.11,1.11,1.11,1.17,1.24,1.2,0.92,1.03,1.01,1.05,0.99,0.95,0
2.73,3,3.82,3.91,1.09,1.11,1.11,1.11,1.17,1.24,0.91,0.92,1.03,1.01,1.05,0.99,0
2.74,3.07,3.86,3.91,1.12,1.09,1.11,1.11,1.11,1.17,0.84,0.91,0.92,1.03,1.01,1.05,0
2.73,3.05,3.87,3.9,1.14,1.12,1.09,1.11,1.11,1.11,0.85,0.84,0.91,0.92,1.03,1.01,0
2.63,3,3.82,3.88,1.19,1.14,1.12,1.09,1.11,1.11,0.88,0.85,0.84,0.91,0.92,1.03,0
2.68,3.05,3.93,3.94,1.25,1.19,1.14,1.12,1.09,1.11,0.89,0.88,0.85,0.84,0.91,0.92,0
2.69,3.01,3.88,3.93,1.19,1.25,1.19,1.14,1.12,1.09,0.92,0.89,0.88,0.85,0.84,0.91,0
2.69,2.98,3.89,3.93,1.2,1.19,1.25,1.19,1.14,1.12,0.95,0.92,0.89,0.88,0.85,0.84,0
2.65,2.94,3.86,3.92,1.21,1.2,1.19,1.25,1.19,1.14,0.98,0.95,0.92,0.89,0.88,0.85,0
2.71,3,3.89,3.94,1.18,1.21,1.2,1.19,1.25,1.19,0.94,0.98,0.95,0.92,0.89,0.88,0
2.74,3.04,3.9,3.96,1.16,1.18,1.21,1.2,1.19,1.25,0.92,0.94,0.98,0.95,0.92,0.89,0
2.9,3.2,4,4.02,1.1,1.16,1.18,1.21,1.2,1.19,0.82,0.92,0.94,0.98,0.95,0.92,0
2.93,3.23,4.02,4.05,1.09,1.1,1.16,1.18,1.21,1.2,0.82,0.82,0.92,0.94,0.98,0.95,0
